50	1.02	0.0056	0.2	0.02
100	1.02	0.0104	0.2	0.02
250	1.02	0.0248	0.2	0.02
500	1.02	0.0488	0.2	0.02
1000	1.02	0.0960	0.2	0.05
2000	1.02	0.1860	0.2	0.05
3000	1.02	0.2660	0.2	0.05
4000	1.02	0.3320	0.2	0.10
5000	1.02	0.3840	0.2	0.10
6000	1.02	0.4200	0.2	0.10
7000	1.02	0.4440	0.2	0.10
8000	1.02	0.4640	0.2	0.20
9000	1.02	0.4680	0.2	0.20
10000	1.02	0.4720	0.2	0.20
12000	1.02	0.4600	0.2	0.20
15000	1.02	0.4320	0.2	0.20
20000	1.02	0.3720	0.2	0.10
25000	1.02	0.3200	0.2	0.10
50000	1.02	0.1820	0.2	0.05
100000	1.02	0.0936	0.2	0.02
200000	1.02	0.0496	0.2	0.02
350000	1.02	0.0320	0.2	0.02
500000	1.02	0.0264	0.2	0.02
1000000	1.02	0.0200	0.2	0.02
