Freq.	V(out)/V(in)
5.75439937337161e+002	-2.48561427218761e+001
6.02559586074362e+002	-2.44583003189768e+001
6.30957344480198e+002	-2.40606654158492e+001
6.60693448007601e+002	-2.36632578984322e+001
6.91830970918941e+002	-2.32660995444264e+001
7.24435960074995e+002	-2.28692142004360e+001
7.58577575029189e+002	-2.24726279751325e+001
7.94328234724287e+002	-2.20763694497701e+001
8.31763771102677e+002	-2.16804699074775e+001
8.70963589956087e+002	-2.12849635828331e+001
9.12010839355917e+002	-2.08898879333211e+001
9.54992586021443e+002	-2.04952839343497e+001
1.00000000000001e+003	-2.01011963995920e+001
1.04712854805091e+003	-1.97076743284814e+001
1.09647819614319e+003	-1.93147712827583e+001
1.14815362149689e+003	-1.89225457940053e+001
1.20226443461742e+003	-1.85310618041391e+001
1.25892541179418e+003	-1.81403891408245e+001
1.31825673855642e+003	-1.77506040297421e+001
1.38038426460290e+003	-1.73617896455688e+001
1.44543977074594e+003	-1.69740367034008e+001
1.51356124843622e+003	-1.65874440921607e+001
1.58489319246113e+003	-1.62021195512668e+001
1.65958690743757e+003	-1.58181803914821e+001
1.73780082874939e+003	-1.54357542604019e+001
1.81970085861000e+003	-1.50549799524468e+001
1.90546071796326e+003	-1.46760082624898e+001
1.99526231496890e+003	-1.42990028813464e+001
2.08929613085406e+003	-1.39241413302553e+001
2.18776162394957e+003	-1.35516159301711e+001
2.29086765276779e+003	-1.31816348001380e+001
2.39883291901951e+003	-1.28144228772088e+001
2.51188643150960e+003	-1.24502229482856e+001
2.63026799189541e+003	-1.20892966818861e+001
2.75422870333819e+003	-1.17319256451668e+001
2.88403150312663e+003	-1.13784122885790e+001
3.01995172040204e+003	-1.10290808773101e+001
3.16227766016841e+003	-1.06842783452098e+001
3.31131121482594e+003	-1.03443750432969e+001
3.46736850452535e+003	-1.00097653512591e+001
3.63078054770105e+003	-9.68086811674262e+000
3.80189396320565e+003	-9.35812688382821e+000
3.98107170553501e+003	-9.04200986911195e+000
4.16869383470339e+003	-8.73300964149635e+000
4.36515832240170e+003	-8.43164246041836e+000
4.57088189614880e+003	-8.13844722710958e+000
4.78630092322643e+003	-7.85398400491697e+000
5.01187233627277e+003	-7.57883206803633e+000
5.24807460249778e+003	-7.31358744352385e+000
5.49540873857630e+003	-7.05885991940039e+000
5.75439937337163e+003	-6.81526950221283e+000
6.02559586074364e+003	-6.58344232060823e+000
6.30957344480200e+003	-6.36400598719691e+000
6.60693448007603e+003	-6.15758444893449e+000
6.91830970918944e+003	-5.96479237593900e+000
7.24435960074998e+003	-5.78622915936755e+000
7.58577575029192e+003	-5.62247260980217e+000
7.94328234724290e+003	-5.47407246746851e+000
8.31763771102680e+003	-5.34154385336022e+000
8.70963589956090e+003	-5.22536080476416e+000
9.12010839355919e+003	-5.12595004863351e+000
9.54992586021446e+003	-5.04368517075314e+000
1.00000000000001e+004	-4.97888133694917e+000
1.04712854805091e+004	-4.93179071431003e+000
1.09647819614320e+004	-4.90259872549578e+000
1.14815362149690e+004	-4.89142124811723e+000
1.20226443461743e+004	-4.89830284467965e+000
1.25892541179418e+004	-4.92321607788509e+000
1.31825673855642e+004	-4.96606193264475e+000
1.38038426460290e+004	-5.02667133163390e+000
1.44543977074594e+004	-5.10480769736677e+000
1.51356124843623e+004	-5.20017048227374e+000
1.58489319246113e+004	-5.31239956065330e+000
1.65958690743758e+004	-5.44108035390508e+000
1.73780082874940e+004	-5.58574954403056e+000
1.81970085861000e+004	-5.74590122051713e+000
1.90546071796327e+004	-5.92099330248244e+000
1.99526231496890e+004	-6.11045408103534e+000
2.08929613085406e+004	-6.31368873554527e+000
2.18776162394958e+004	-6.53008569096899e+000
2.29086765276780e+004	-6.75902270044996e+000
2.39883291901952e+004	-6.99987255688261e+000
2.51188643150961e+004	-7.25200835783435e+000
2.63026799189541e+004	-7.51480826904371e+000
2.75422870333820e+004	-7.78765975171437e+000
2.88403150312664e+004	-8.06996323724437e+000
3.01995172040205e+004	-8.36113524931633e+000
3.16227766016842e+004	-8.66061098708472e+000
3.31131121482595e+004	-8.96784639437588e+000
3.46736850452536e+004	-9.28231974837451e+000
3.63078054770106e+004	-9.60353280734361e+000
3.80189396320566e+004	-9.93101156074363e+000
3.98107170553502e+004	-1.02643066269725e+001
4.16869383470341e+004	-1.06029933441577e+001
4.36515832240172e+004	-1.09466715983245e+001
4.57088189614881e+004	-1.12949654311440e+001
4.78630092322645e+004	-1.16475224666247e+001
5.01187233627279e+004	-1.20040131927930e+001
5.24807460249780e+004	-1.23641301308228e+001
5.49540873857632e+004	-1.27275869204027e+001
5.75439937337165e+004	-1.30941173464906e+001
6.02559586074366e+004	-1.34634743291131e+001
6.30957344480202e+004	-1.38354288945868e+001
6.60693448007605e+004	-1.42097691435142e+001
6.91830970918946e+004	-1.45862992281690e+001
7.24435960075000e+004	-1.49648383494413e+001
7.58577575029194e+004	-1.53452197813607e+001
7.94328234724293e+004	-1.57272899293435e+001
8.31763771102683e+004	-1.61109074267033e+001
8.70963589956093e+004	-1.64959422725999e+001
9.12010839355923e+004	-1.68822750134575e+001
9.54992586021450e+004	-1.72697959689373e+001
1.00000000000001e+005	-1.76584045027762e+001
1.04712854805091e+005	-1.80480083381823e+001
1.09647819614320e+005	-1.84385229169883e+001
1.14815362149690e+005	-1.88298708013854e+001
1.20226443461743e+005	-1.92219811167780e+001
1.25892541179419e+005	-1.96147890340932e+001
1.31825673855643e+005	-2.00082352897465e+001
1.38038426460291e+005	-2.04022657413745e+001
1.44543977074595e+005	-2.07968309574137e+001
1.51356124843623e+005	-2.11918858385946e+001
1.58489319246114e+005	-2.15873892694474e+001
1.65958690743759e+005	-2.19833037979618e+001
1.73780082874940e+005	-2.23795953416032e+001
1.81970085861001e+005	-2.27762329179669e+001
1.90546071796328e+005	-2.31731883984307e+001
1.99526231496891e+005	-2.35704362832603e+001
2.08929613085407e+005	-2.39679534967117e+001
2.18776162394959e+005	-2.43657192007725e+001
2.29086765276781e+005	-2.47637146262780e+001
2.39883291901953e+005	-2.51619229202332e+001
2.51188643150962e+005	-2.55603290082652e+001
2.63026799189542e+005	-2.59589194712210e+001
2.75422870333821e+005	-2.63576824350166e+001
2.88403150312665e+005	-2.67566074729254e+001
3.01995172040206e+005	-2.71556855195822e+001
3.16227766016843e+005	-2.75549087960549e+001
3.31131121482596e+005	-2.79542707454165e+001
3.46736850452537e+005	-2.83537659783247e+001
3.63078054770107e+005	-2.87533902281883e+001
3.80189396320567e+005	-2.91531403155703e+001
3.98107170553504e+005	-2.95530141215476e+001
4.16869383470342e+005	-2.99530105698118e+001
4.36515832240173e+005	-3.03531296173623e+001
4.57088189614883e+005	-3.07533722537082e+001
4.78630092322646e+005	-3.11537405085559e+001
5.01187233627281e+005	-3.15542374680260e+001
5.24807460249781e+005	-3.19548672995010e+001
5.49540873857634e+005	-3.23556352852716e+001
5.75439937337167e+005	-3.27565478652089e+001
6.02559586074368e+005	-3.31576126887516e+001
6.30957344480204e+005	-3.35588386765620e+001
6.60693448007607e+005	-3.39602360922639e+001
6.91830970918948e+005	-3.43618166247400e+001
7.24435960075003e+005	-3.47635934815283e+001
7.58577575029197e+005	-3.51655814939165e+001
7.94328234724295e+005	-3.55677972343983e+001
8.31763771102686e+005	-3.59702591472102e+001
8.70963589956096e+005	-3.63729876927267e+001
9.12010839355926e+005	-3.67760055065444e+001
9.54992586021453e+005	-3.71793375741328e+001
1.00000000000000e+006	-3.75830114219712e+001
