time	V(in)	V(out)
4.762142857142890e-005	1.486822e-008	3.593629e-002
4.880714285714321e-005	1.475465e-008	3.220921e-002
4.999285714285752e-005	1.464195e-008	2.865391e-002
5.117857142857184e-005	1.453011e-008	2.527038e-002
5.236428571428616e-005	1.441914e-008	2.205863e-002
5.355000000000047e-005	1.430904e-008	1.901866e-002
5.483571428571478e-005	1.419061e-008	1.591080e-002
5.612142857142910e-005	1.407314e-008	1.296765e-002
5.740714285714342e-005	1.395663e-008	1.018921e-002
5.869285714285774e-005	1.384109e-008	7.575471e-003
5.997857142857205e-005	1.372651e-008	5.126442e-003
6.126428571428637e-005	1.361289e-008	2.842120e-003
6.255000000000068e-005	1.350024e-008	7.225041e-004
6.373571428571499e-005	1.339717e-008	-1.110315e-003
6.492142857142931e-005	1.329487e-008	-2.841474e-003
6.610714285714363e-005	1.319335e-008	-4.470974e-003
6.729285714285794e-005	1.309260e-008	-5.998815e-003
6.847857142857226e-005	1.299262e-008	-7.424997e-003
6.966428571428657e-005	1.289342e-008	-8.749520e-003
7.085000000000088e-005	1.279499e-008	-9.972383e-003
7.273571428571521e-005	1.264003e-008	-1.172648e-002
7.462142857142954e-005	1.248690e-008	-1.332203e-002
7.650714285714388e-005	1.233559e-008	-1.475904e-002
7.839285714285821e-005	1.218610e-008	-1.603750e-002
8.027857142857254e-005	1.203843e-008	-1.715741e-002
8.216428571428687e-005	1.189259e-008	-1.811878e-002
8.405000000000120e-005	1.174857e-008	-1.892160e-002
8.609285714285840e-005	1.159453e-008	-1.967576e-002
8.813571428571559e-005	1.144244e-008	-2.033865e-002
9.017857142857278e-005	1.129230e-008	-2.091027e-002
9.222142857142997e-005	1.114413e-008	-2.139063e-002
9.426428571428717e-005	1.099791e-008	-2.177972e-002
9.630714285714437e-005	1.085365e-008	-2.207755e-002
9.835000000000155e-005	1.071134e-008	-2.228411e-002
9.845000000000155e-005	1.070442e-008	-2.229381e-002
1.022071428571445e-004	1.044796e-008	-2.249957e-002
1.059642857142875e-004	1.019731e-008	-2.260993e-002
1.097214285714304e-004	9.952454e-009	-2.262488e-002
1.134785714285734e-004	9.713402e-009	-2.254443e-002
1.172357142857163e-004	9.480154e-009	-2.236858e-002
1.209928571428593e-004	9.252707e-009	-2.209733e-002
1.247500000000022e-004	9.031064e-009	-2.173067e-002
1.322500000000024e-004	8.605947e-009	-2.094496e-002
1.397500000000026e-004	8.198790e-009	-2.015357e-002
1.472500000000027e-004	7.809592e-009	-1.935651e-002
1.547500000000029e-004	7.438352e-009	-1.855376e-002
1.622500000000031e-004	7.085072e-009	-1.774534e-002
1.697500000000033e-004	6.749751e-009	-1.693123e-002
1.772500000000035e-004	6.432389e-009	-1.611145e-002
1.806071428571464e-004	6.294475e-009	-1.577156e-002
1.839642857142894e-004	6.159369e-009	-1.543791e-002
1.873214285714323e-004	6.027071e-009	-1.511051e-002
1.906785714285752e-004	5.897582e-009	-1.478937e-002
1.940357142857182e-004	5.770902e-009	-1.447447e-002
1.973928571428611e-004	5.647030e-009	-1.416582e-002
2.007500000000040e-004	5.525967e-009	-1.386343e-002
2.008500000000040e-004	5.522396e-009	-1.385451e-002
2.152500000000044e-004	5.040050e-009	-1.264674e-002
2.296500000000047e-004	4.592592e-009	-1.152591e-002
2.440500000000051e-004	4.180022e-009	-1.049202e-002
2.584500000000054e-004	3.802339e-009	-9.545067e-003
2.728500000000058e-004	3.459544e-009	-8.685056e-003
2.872500000000061e-004	3.151637e-009	-7.911985e-003
3.016500000000065e-004	2.878618e-009	-7.225853e-003
3.032500000000065e-004	2.849003e-009	-7.151514e-003
3.178642857142926e-004	2.596747e-009	-6.518309e-003
3.324785714285787e-004	2.362945e-009	-5.931427e-003
3.470928571428647e-004	2.147598e-009	-5.390867e-003
3.617071428571508e-004	1.950704e-009	-4.896630e-003
3.763214285714369e-004	1.772265e-009	-4.448716e-003
3.909357142857230e-004	1.612281e-009	-4.047124e-003
4.055500000000090e-004	1.470750e-009	-3.691855e-003
4.056500000000090e-004	1.469800e-009	-3.689469e-003
4.202642857142936e-004	1.339661e-009	-3.362797e-003
