time	V(out)
1.412785714285740e-004	1.241070e-003
1.440357142857170e-004	1.056410e-003
1.467928571428599e-004	9.039076e-004
1.495500000000028e-004	7.835619e-004
1.534357142857172e-004	6.401125e-004
1.573214285714316e-004	5.151169e-004
1.612071428571459e-004	4.085751e-004
1.650928571428603e-004	3.204869e-004
1.689785714285747e-004	2.508525e-004
1.728642857142891e-004	1.996719e-004
1.767500000000035e-004	1.669449e-004
1.804214285714321e-004	1.373192e-004
1.840928571428608e-004	1.114228e-004
1.877642857142895e-004	8.925585e-005
1.914357142857181e-004	7.081831e-005
1.951071428571468e-004	5.611018e-005
1.987785714285754e-004	4.513145e-005
2.024500000000041e-004	3.788214e-005
2.025500000000041e-004	3.766284e-005
2.164500000000044e-004	2.352629e-005
2.303500000000048e-004	1.231423e-005
2.442500000000051e-004	4.026669e-006
2.581500000000054e-004	-1.336398e-006
2.720500000000058e-004	-3.774970e-006
2.859500000000062e-004	-3.289047e-006
2.998500000000065e-004	1.213704e-007
2.999500000000065e-004	1.206478e-007
3.000000000000000e-004	1.202879e-007
