time	V
2.957012015795141e-005	3.572681e-001
3.084154872937999e-005	3.544696e-001
3.211297730080859e-005	3.516928e-001
3.338440587223718e-005	3.489377e-001
3.465583444366578e-005	3.462042e-001
3.592726301509436e-005	3.434924e-001
3.719869158652295e-005	3.408022e-001
3.858440587223727e-005	3.378943e-001
3.997012015795159e-005	3.350106e-001
4.135583444366591e-005	3.321513e-001
4.274154872938023e-005	3.293163e-001
4.412726301509455e-005	3.265056e-001
4.551297730080887e-005	3.237191e-001
4.689869158652319e-005	3.209570e-001
4.835583444366608e-005	3.180779e-001
4.981297730080898e-005	3.152241e-001
5.127012015795187e-005	3.123956e-001
5.272726301509476e-005	3.095923e-001
5.418440587223766e-005	3.068143e-001
5.564154872938054e-005	3.040616e-001
5.709869158652344e-005	3.013341e-001
5.868440587223776e-005	2.983938e-001
6.027012015795208e-005	2.954816e-001
6.185583444366641e-005	2.925973e-001
6.344154872938073e-005	2.897411e-001
6.502726301509505e-005	2.869129e-001
6.661297730080938e-005	2.841127e-001
6.819869158652370e-005	2.813405e-001
7.005583444366660e-005	2.781283e-001
7.191297730080951e-005	2.749519e-001
7.377012015795240e-005	2.718111e-001
7.562726301509531e-005	2.687060e-001
7.748440587223821e-005	2.656365e-001
7.934154872938112e-005	2.626027e-001
8.119869158652402e-005	2.596046e-001
8.331297730080978e-005	2.562333e-001
8.542726301509555e-005	2.529043e-001
8.754154872938132e-005	2.496178e-001
8.965583444366709e-005	2.463737e-001
9.177012015795284e-005	2.431720e-001
9.388440587223862e-005	2.400128e-001
9.599869158652438e-005	2.368959e-001
9.809869158652443e-005	2.338389e-001
1.004558344436674e-004	2.304562e-001
1.028129773008103e-004	2.271207e-001
1.051701201579532e-004	2.238325e-001
1.075272630150961e-004	2.205916e-001
1.098844058722390e-004	2.173979e-001
1.122415487293819e-004	2.142514e-001
1.145986915865248e-004	2.111521e-001
1.175558344436678e-004	2.073283e-001
1.205129773008107e-004	2.035707e-001
1.234701201579536e-004	1.998795e-001
1.264272630150966e-004	1.962545e-001
1.293844058722395e-004	1.926958e-001
1.323415487293824e-004	1.892034e-001
1.352986915865253e-004	1.857772e-001
1.396701201579540e-004	1.808300e-001
1.440415487293827e-004	1.760065e-001
1.484129773008114e-004	1.713066e-001
1.527844058722401e-004	1.667303e-001
1.571558344436687e-004	1.622777e-001
1.615272630150974e-004	1.579488e-001
1.658986915865261e-004	1.537435e-001
1.708272630150976e-004	1.491375e-001
1.757558344436692e-004	1.446600e-001
1.806844058722407e-004	1.403111e-001
1.856129773008123e-004	1.360908e-001
1.905415487293838e-004	1.319990e-001
1.954701201579554e-004	1.280357e-001
2.003986915865269e-004	1.242010e-001
2.004986915865269e-004	1.241242e-001
2.151129773008130e-004	1.135718e-001
2.297272630150991e-004	1.037656e-001
2.443415487293851e-004	9.470561e-002
2.589558344436712e-004	8.639176e-002
2.735701201579573e-004	7.882407e-002
2.881844058722433e-004	7.200256e-002
3.027986915865294e-004	6.592721e-002
3.028986915865294e-004	6.588645e-002
3.175129773008155e-004	6.028515e-002
3.321272630151016e-004	5.507991e-002
3.467415487293876e-004	5.027075e-002
3.613558344436737e-004	4.585767e-002
3.759701201579598e-004	4.184066e-002
3.905844058722458e-004	3.821973e-002
4.051986915865319e-004	3.499487e-002
4.052986915865319e-004	3.497324e-002
4.199129773008164e-004	3.200000e-002
4.345272630151010e-004	2.923701e-002
4.491415487293856e-004	2.668426e-002
4.637558344436702e-004	2.434175e-002
4.783701201579548e-004	2.220948e-002
4.929844058722394e-004	2.028745e-002
5.075986915865239e-004	1.857566e-002
5.076986915865238e-004	1.856417e-002
5.223129773008020e-004	1.698595e-002
5.369272630150802e-004	1.551932e-002
5.515415487293583e-004	1.416429e-002
5.661558344436364e-004	1.292086e-002
5.807701201579146e-004	1.178903e-002
5.953844058721928e-004	1.076879e-002
6.099986915864709e-004	9.860158e-003
6.100986915864708e-004	9.854061e-003
6.247129773007489e-004	9.016322e-003
6.393272630150272e-004	8.237821e-003
6.539415487293053e-004	7.518558e-003
6.685558344435834e-004	6.858532e-003
6.831701201578616e-004	6.257743e-003
6.977844058721397e-004	5.716192e-003
7.123986915864179e-004	5.233878e-003
7.124986915864178e-004	5.230641e-003
7.271129773006959e-004	4.785961e-003
7.417272630149741e-004	4.372724e-003
7.563415487292523e-004	3.990931e-003
7.709558344435304e-004	3.640582e-003
7.855701201578086e-004	3.321677e-003
8.001844058720867e-004	3.034216e-003
8.147986915863648e-004	2.778199e-003
8.148986915863648e-004	2.776481e-003
8.295129773006429e-004	2.540439e-003
8.441272630149211e-004	2.321089e-003
8.587415487291992e-004	2.118429e-003
8.733558344434773e-004	1.932460e-003
8.879701201577556e-004	1.763182e-003
9.025844058720337e-004	1.610594e-003
9.171986915863118e-004	1.474698e-003
9.172986915863118e-004	1.473786e-003
9.290986915863092e-004	1.371206e-003
9.408986915863068e-004	1.274746e-003
9.526986915863043e-004	1.184403e-003
9.644986915863017e-004	1.100179e-003
9.762986915862993e-004	1.022074e-003
9.880986915862967e-004	9.500869e-004
9.998986915862942e-004	8.842184e-004
9.999986915862943e-004	8.836716e-004
1.000000000000000e-003	8.836645e-004
