time	V(out)
2.829909589037390e-005	1.285785e-001
2.957052446180250e-005	1.243699e-001
3.084195303323109e-005	1.201055e-001
3.211338160465968e-005	1.157853e-001
3.338481017608827e-005	1.114094e-001
3.465623874751686e-005	1.069777e-001
3.592766731894545e-005	1.024902e-001
3.719909589037405e-005	9.794702e-002
3.858481017608836e-005	9.312602e-002
3.997052446180269e-005	8.843673e-002
4.135623874751700e-005	8.387913e-002
4.274195303323132e-005	7.945322e-002
4.412766731894565e-005	7.515902e-002
4.551338160465996e-005	7.099651e-002
4.689909589037428e-005	6.696571e-002
4.834195303323146e-005	6.297351e-002
4.978481017608864e-005	5.915642e-002
5.122766731894582e-005	5.551442e-002
5.267052446180300e-005	5.204753e-002
5.411338160466017e-005	4.875574e-002
5.555623874751735e-005	4.563906e-002
5.699909589037453e-005	4.269747e-002
5.857052446180314e-005	3.969144e-002
6.014195303323175e-005	3.685246e-002
6.171338160466036e-005	3.418052e-002
6.328481017608896e-005	3.167564e-002
6.485623874751758e-005	2.933780e-002
6.642766731894619e-005	2.716702e-002
6.799909589037479e-005	2.516328e-002
6.981338160466055e-005	2.302689e-002
7.162766731894631e-005	2.103612e-002
7.344195303323208e-005	1.919096e-002
7.525623874751784e-005	1.749143e-002
7.707052446180360e-005	1.593751e-002
7.888481017608934e-005	1.452921e-002
8.069909589037510e-005	1.326653e-002
8.278481017608944e-005	1.194769e-002
8.487052446180377e-005	1.073441e-002
8.695623874751812e-005	9.626680e-003
8.904195303323245e-005	8.624504e-003
9.112766731894679e-005	7.727880e-003
9.321338160466112e-005	6.936810e-003
9.529909589037546e-005	6.251291e-003
9.809909589037553e-005	5.411806e-003
1.004276673189470e-004	4.818958e-003
1.027562387475185e-004	4.279442e-003
1.050848101760900e-004	3.793257e-003
1.074133816046615e-004	3.360403e-003
1.097419530332330e-004	2.980881e-003
1.120705244618045e-004	2.654691e-003
1.143990958903759e-004	2.381832e-003
1.172848101760903e-004	2.084926e-003
1.201705244618046e-004	1.819325e-003
1.230562387475190e-004	1.585030e-003
1.259419530332334e-004	1.382039e-003
1.288276673189477e-004	1.210354e-003
1.317133816046621e-004	1.069974e-003
1.345990958903764e-004	9.608986e-004
1.387990958903765e-004	8.272388e-004
1.429990958903766e-004	7.108823e-004
1.471990958903767e-004	6.118290e-004
1.513990958903768e-004	5.300789e-004
1.555990958903769e-004	4.656320e-004
1.597990958903770e-004	4.184884e-004
1.639990958903771e-004	3.886480e-004
1.691990958903772e-004	3.536047e-004
1.743990958903774e-004	3.228630e-004
1.795990958903775e-004	2.964229e-004
1.847990958903776e-004	2.742843e-004
1.899990958903778e-004	2.564472e-004
1.951990958903779e-004	2.429117e-004
2.003990958903780e-004	2.336778e-004
2.004990958903780e-004	2.334651e-004
2.151133816046641e-004	2.098600e-004
2.297276673189501e-004	1.885947e-004
2.443419530332362e-004	1.696691e-004
2.589562387475223e-004	1.530833e-004
2.735705244618083e-004	1.388372e-004
2.881848101760944e-004	1.269309e-004
3.027990958903805e-004	1.173643e-004
3.028990958903805e-004	1.172916e-004
3.175133816046666e-004	1.073129e-004
3.321276673189526e-004	9.804118e-005
3.467419530332387e-004	8.947630e-005
3.613562387475248e-004	8.161831e-005
3.759705244618108e-004	7.446719e-005
3.905848101760969e-004	6.802296e-005
4.051990958903830e-004	6.228560e-005
4.052990958903830e-004	6.224709e-005
4.199133816046675e-004	5.695517e-005
4.345276673189521e-004	5.203745e-005
4.491419530332367e-004	4.749392e-005
4.637562387475212e-004	4.332460e-005
4.783705244618058e-004	3.952948e-005
4.929848101760904e-004	3.610856e-005
5.075990958903749e-004	3.306184e-005
5.076990958903749e-004	3.304140e-005
5.223133816046530e-004	3.023240e-005
5.369276673189312e-004	2.762203e-005
5.515419530332093e-004	2.521028e-005
5.661562387474874e-004	2.299717e-005
5.807705244617657e-004	2.098268e-005
5.953848101760438e-004	1.916682e-005
6.099990958903219e-004	1.754958e-005
6.100990958903219e-004	1.753873e-005
6.247133816046000e-004	1.604768e-005
6.393276673188782e-004	1.466207e-005
6.539419530331563e-004	1.338189e-005
6.685562387474344e-004	1.220714e-005
6.831705244617127e-004	1.113783e-005
6.977848101759908e-004	1.017395e-005
7.123990958902689e-004	9.315507e-006
7.124990958902688e-004	9.309747e-006
7.271133816045469e-004	8.518283e-006
7.417276673188252e-004	7.782784e-006
7.563419530331033e-004	7.103251e-006
7.709562387473814e-004	6.479683e-006
7.855705244616596e-004	5.912080e-006
8.001848101759377e-004	5.400443e-006
8.147990958902159e-004	4.944771e-006
8.148990958902158e-004	4.941714e-006
8.295133816044939e-004	4.521596e-006
8.441276673187721e-004	4.131186e-006
8.587419530330503e-004	3.770482e-006
8.733562387473284e-004	3.439486e-006
8.879705244616066e-004	3.138196e-006
9.025848101758847e-004	2.866613e-006
9.171990958901628e-004	2.624738e-006
9.172990958901628e-004	2.623115e-006
9.292563679058538e-004	2.438245e-006
9.412136399215448e-004	2.264522e-006
9.531709119372358e-004	2.101944e-006
9.651281839529269e-004	1.950513e-006
9.770854559686178e-004	1.810227e-006
9.890427279843090e-004	1.681088e-006
1.001000000000000e-003	1.563095e-006
1.001013183556715e-003	1.564027e-006
1.001030761632335e-003	1.583829e-006
1.001058835112257e-003	1.817072e-006
1.001114982072101e-003	3.641538e-006
1.001185037000537e-003	9.939609e-006
1.001259680811305e-003	2.482992e-005
1.001341019982857e-003	5.457309e-005
1.001418048610165e-003	1.003758e-004
1.001500000000000e-003	1.657153e-004
1.001557365972884e-003	2.347992e-004
1.001622927084752e-003	3.342108e-004
1.001722927084752e-003	5.197933e-004
1.001822927084752e-003	7.465882e-004
1.001922927084752e-003	1.017952e-003
1.002022927084753e-003	1.333287e-003
1.002122927084753e-003	1.692003e-003
1.002222927084753e-003	2.093514e-003
1.002322927084753e-003	2.537240e-003
1.002422927084753e-003	3.022608e-003
1.002522927084753e-003	3.549051e-003
1.002722927084753e-003	4.722914e-003
1.002922927084753e-003	6.054398e-003
1.003122927084753e-003	7.539162e-003
1.003322927084753e-003	9.172950e-003
1.003522927084753e-003	1.095159e-002
1.003822927084754e-003	1.388224e-002
1.004122927084754e-003	1.711619e-002
1.004422927084754e-003	2.064042e-002
1.004719651786932e-003	2.442765e-002
1.005016376489110e-003	2.844631e-002
1.005313101191288e-003	3.269638e-002
1.005609825893466e-003	3.717788e-002
1.005906550595644e-003	4.189079e-002
1.006203275297822e-003	4.683512e-002
1.006500000000000e-003	5.201087e-002
1.006570000000000e-003	5.325634e-002
1.006750000000000e-003	5.648592e-002
1.006900000000000e-003	5.918038e-002
1.007000000000000e-003	6.096492e-002
1.007030000000000e-003	6.149521e-002
1.007718571428572e-003	7.287130e-002
1.008407142857143e-003	8.328313e-002
1.009095714285715e-003	9.273071e-002
1.009784285714287e-003	1.012140e-001
1.010472857142859e-003	1.087331e-001
1.011161428571431e-003	1.152880e-001
1.011850000000003e-003	1.208785e-001
1.012564285714289e-003	1.259450e-001
1.013278571428575e-003	1.304079e-001
1.013992857142861e-003	1.342670e-001
1.014707142857147e-003	1.375225e-001
1.015421428571433e-003	1.401744e-001
1.016135714285719e-003	1.422226e-001
1.016850000000005e-003	1.436671e-001
1.017650000000006e-003	1.448934e-001
1.017750000000006e-003	1.450101e-001
1.018435714285721e-003	1.455405e-001
1.019121428571435e-003	1.458010e-001
1.019807142857150e-003	1.457914e-001
1.020492857142865e-003	1.455118e-001
1.021178571428579e-003	1.449623e-001
1.021864285714294e-003	1.441427e-001
1.022550000000009e-003	1.430532e-001
1.023507142857152e-003	1.412044e-001
1.024464285714295e-003	1.391374e-001
1.025421428571439e-003	1.368521e-001
1.026378571428582e-003	1.343487e-001
1.027335714285726e-003	1.316271e-001
1.028292857142869e-003	1.286873e-001
1.029250000000012e-003	1.255293e-001
1.030578571428584e-003	1.209953e-001
1.031907142857157e-003	1.164371e-001
1.033235714285729e-003	1.118545e-001
1.034564285714301e-003	1.072476e-001
1.035892857142873e-003	1.026164e-001
1.037221428571446e-003	9.796092e-002
1.038550000000018e-003	9.328113e-002
1.039935714285733e-003	8.855814e-002
1.041321428571448e-003	8.397798e-002
1.042707142857163e-003	7.954062e-002
1.044092857142878e-003	7.524608e-002
1.045478571428593e-003	7.109436e-002
1.046864285714308e-003	6.708545e-002
1.048250000000023e-003	6.321935e-002
1.049707142857167e-003	5.935949e-002
1.051164285714311e-003	5.567570e-002
1.052621428571454e-003	5.216798e-002
1.054078571428598e-003	4.883632e-002
1.055535714285742e-003	4.568074e-002
1.056992857142885e-003	4.270122e-002
1.058450000000029e-003	3.989777e-002
1.060050000000030e-003	3.701537e-002
1.061650000000031e-003	3.429805e-002
1.063250000000032e-003	3.174582e-002
1.064850000000033e-003	2.935867e-002
1.066450000000033e-003	2.713660e-002
1.068050000000034e-003	2.507962e-002
1.069650000000035e-003	2.318772e-002
1.071507142857179e-003	2.116499e-002
1.073364285714323e-003	1.928397e-002
1.075221428571467e-003	1.754466e-002
1.077078571428611e-003	1.594704e-002
1.078935714285755e-003	1.449114e-002
1.080792857142899e-003	1.317693e-002
1.082650000000043e-003	1.200444e-002
1.084750000000044e-003	1.080110e-002
1.086850000000045e-003	9.695104e-003
1.088950000000046e-003	8.686446e-003
1.091050000000047e-003	7.775127e-003
1.093150000000049e-003	6.961146e-003
1.095250000000050e-003	6.244503e-003
1.097350000000051e-003	5.625199e-003
1.099650000000052e-003	5.015086e-003
1.101950000000054e-003	4.459317e-003
1.104250000000055e-003	3.957890e-003
1.106550000000056e-003	3.510806e-003
1.108850000000057e-003	3.118065e-003
1.111150000000059e-003	2.779668e-003
1.113450000000060e-003	2.495613e-003
1.114392857142918e-003	2.383933e-003
1.115335714285775e-003	2.277211e-003
1.116278571428633e-003	2.175447e-003
1.117221428571491e-003	2.078640e-003
1.118164285714349e-003	1.986791e-003
1.119107142857206e-003	1.899900e-003
1.120050000000064e-003	1.817967e-003
1.120150000000064e-003	1.809458e-003
1.123335714285780e-003	1.573757e-003
1.126521428571496e-003	1.364506e-003
1.129707142857212e-003	1.181704e-003
1.132892857142928e-003	1.025351e-003
1.136078571428644e-003	8.954483e-004
1.139264285714360e-003	7.919948e-004
1.142450000000077e-003	7.149907e-004
1.147450000000079e-003	6.150579e-004
1.152450000000082e-003	5.289336e-004
1.157450000000085e-003	4.566176e-004
1.162450000000088e-003	3.981100e-004
1.167450000000091e-003	3.534109e-004
1.172450000000094e-003	3.225201e-004
1.177450000000096e-003	3.054378e-004
1.183878571428671e-003	2.819576e-004
1.190307142857247e-003	2.611206e-004
1.196735714285821e-003	2.429267e-004
1.203164285714397e-003	2.273761e-004
1.209592857142972e-003	2.144686e-004
1.216021428571547e-003	2.042044e-004
1.222450000000122e-003	1.965833e-004
1.222550000000122e-003	1.964437e-004
1.237164285714416e-003	1.787547e-004
1.251778571428710e-003	1.624930e-004
1.266392857143004e-003	1.476587e-004
1.281007142857298e-003	1.342519e-004
1.295621428571592e-003	1.222724e-004
1.310235714285886e-003	1.117204e-004
1.324850000000180e-003	1.025958e-004
1.324950000000180e-003	1.025323e-004
1.339564285714474e-003	9.381375e-005
1.354178571428768e-003	8.571201e-005
1.368792857143062e-003	7.822710e-005
1.383407142857356e-003	7.135902e-005
1.398021428571650e-003	6.510776e-005
1.412635714285944e-003	5.947333e-005
1.427250000000238e-003	5.445573e-005
1.427350000000238e-003	5.442206e-005
1.441964285714532e-003	4.979539e-005
1.456578571428826e-003	4.549587e-005
