Freq.	V(out)/V(in)
2.75422870333820e+004	-9.86442541987224e+000
2.88403150312664e+004	-1.01744874741652e+001
3.01995172040205e+004	-1.04916436658208e+001
3.16227766016842e+004	-1.08153946358511e+001
3.31131121482595e+004	-1.11452668735518e+001
3.46736850452536e+004	-1.14808128661113e+001
3.63078054770106e+004	-1.18216109552879e+001
3.80189396320566e+004	-1.21672649491115e+001
3.98107170553502e+004	-1.25174035330500e+001
4.16869383470341e+004	-1.28716795210868e+001
4.36515832240172e+004	-1.32297689829199e+001
4.57088189614881e+004	-1.35913702792125e+001
4.78630092322645e+004	-1.39562030326417e+001
5.01187233627279e+004	-1.43240070585145e+001
5.24807460249780e+004	-1.46945412750187e+001
5.49540873857632e+004	-1.50675826097929e+001
5.75439937337165e+004	-1.54429249164601e+001
6.02559586074366e+004	-1.58203779120707e+001
6.30957344480202e+004	-1.61997661440426e+001
6.60693448007605e+004	-1.65809279931467e+001
6.91830970918946e+004	-1.69637147173412e+001
7.24435960075000e+004	-1.73479895397880e+001
7.58577575029194e+004	-1.77336267831574e+001
7.94328234724293e+004	-1.81205110513136e+001
8.31763771102683e+004	-1.85085364586526e+001
8.70963589956093e+004	-1.88976059067060e+001
9.12010839355923e+004	-1.92876304071075e+001
9.54992586021450e+004	-1.96785284496219e+001
1.00000000000001e+005	-2.00702254136418e+001
1.04712854805091e+005	-2.04626530213441e+001
1.09647819614320e+005	-2.08557488305599e+001
1.14815362149690e+005	-2.12494557653249e+001
1.20226443461743e+005	-2.16437216820396e+001
1.25892541179419e+005	-2.20384989691692e+001
1.31825673855643e+005	-2.24337441784388e+001
1.38038426460291e+005	-2.28294176855317e+001
1.44543977074595e+005	-2.32254833783641e+001
1.51356124843623e+005	-2.36219083710926e+001
1.58489319246114e+005	-2.40186627420940e+001
1.65958690743759e+005	-2.44157192942579e+001
1.73780082874940e+005	-2.48130533360246e+001
1.81970085861001e+005	-2.52106424817029e+001
1.90546071796328e+005	-2.56084664697007e+001
1.99526231496891e+005	-2.60065069973991e+001
2.08929613085407e+005	-2.64047475714960e+001
2.18776162394959e+005	-2.68031733727399e+001
2.29086765276781e+005	-2.72017711340632e+001
2.39883291901953e+005	-2.76005290312118e+001
2.51188643150962e+005	-2.79994365850516e+001
2.63026799189542e+005	-2.83984845748132e+001
2.75422870333821e+005	-2.87976649616102e+001
2.88403150312665e+005	-2.91969708216445e+001
3.01995172040206e+005	-2.95963962885785e+001
3.16227766016843e+005	-2.99959365046242e+001
3.31131121482596e+005	-3.03955875799645e+001
3.46736850452537e+005	-3.07953465601827e+001
3.63078054770107e+005	-3.11952114014418e+001
3.80189396320567e+005	-3.15951809532079e+001
3.98107170553504e+005	-3.19952549483778e+001
4.16869383470342e+005	-3.23954340007190e+001
4.36515832240173e+005	-3.27957196095950e+001
4.57088189614883e+005	-3.31961141719962e+001
4.78630092322646e+005	-3.35966210019570e+001
5.01187233627281e+005	-3.39972443574929e+001
5.24807460249781e+005	-3.43979894752449e+001
5.49540873857634e+005	-3.47988626130764e+001
5.75439937337167e+005	-3.51998711009217e+001
6.02559586074368e+005	-3.56010234002421e+001
6.30957344480204e+005	-3.60023291725020e+001
6.60693448007607e+005	-3.64037993571350e+001
6.91830970918948e+005	-3.68054462595283e+001
7.24435960075003e+005	-3.72072836496098e+001
7.58577575029197e+005	-3.76093268716831e+001
7.94328234724295e+005	-3.80115929662084e+001
8.31763771102686e+005	-3.84141008042889e+001
8.70963589956096e+005	-3.88168712356689e+001
9.12010839355926e+005	-3.92199272511068e+001
9.54992586021453e+005	-3.96232941600270e+001
1.00000000000000e+006	-4.00269997843955e+001
