f	H
4.36515832240170e+003	9.42193935557732e+000
4.57088189614880e+003	9.04079683044643e+000
4.78630092322643e+003	8.65806672456544e+000
5.01187233627277e+003	8.27387714405155e+000
5.24807460249778e+003	7.88834676052527e+000
5.49540873857630e+003	7.50158535765511e+000
5.75439937337163e+003	7.11369437151520e+000
6.02559586074364e+003	6.72476741954346e+000
6.30957344480200e+003	6.33489081403455e+000
6.60693448007603e+003	5.94414405708988e+000
6.91830970918944e+003	5.55260031478976e+000
7.24435960074998e+003	5.16032686906267e+000
7.58577575029192e+003	4.76738554631719e+000
7.94328234724290e+003	4.37383312238819e+000
8.31763771102680e+003	3.97972170374205e+000
8.70963589956090e+003	3.58509908520013e+000
9.12010839355919e+003	3.19000908468488e+000
9.54992586021446e+003	2.79449185568144e+000
1.00000000000001e+004	2.39858417824619e+000
1.04712854805091e+004	2.00231972949262e+000
1.09647819614320e+004	1.60572933455012e+000
1.14815362149690e+004	1.20884119902878e+000
1.20226443461743e+004	8.11681124040031e-001
1.25892541179418e+004	4.14272704820586e-001
1.31825673855642e+004	1.66375139924519e-002
1.38038426460290e+004	-3.81204729534005e-001
1.44543977074594e+004	-7.79236005040623e-001
1.51356124843623e+004	-1.17743984693137e+000
1.58489319246113e+004	-1.57580121322065e+000
1.65958690743758e+004	-1.97430636473407e+000
1.73780082874940e+004	-2.37294275422314e+000
1.81970085861000e+004	-2.77169892464177e+000
1.90546071796327e+004	-3.17056441587951e+000
1.99526231496890e+004	-3.56952967929230e+000
2.08929613085406e+004	-3.96858599941542e+000
2.18776162394958e+004	-4.36772542228660e+000
2.29086765276780e+004	-4.76694068984773e+000
2.39883291901952e+004	-5.16622517993256e+000
2.51188643150961e+004	-5.56557285138460e+000
2.63026799189541e+004	-5.96497819388407e+000
2.75422870333820e+004	-6.36443618209508e+000
2.88403150312664e+004	-6.76394223377508e+000
3.01995172040205e+004	-7.16349217151672e+000
3.16227766016842e+004	-7.56308218781897e+000
3.31131121482595e+004	-7.96270881320896e+000
3.46736850452536e+004	-8.36236888715888e+000
3.63078054770106e+004	-8.76205953156357e+000
3.80189396320566e+004	-9.16177812656395e+000
3.98107170553502e+004	-9.56152228851982e+000
4.16869383470341e+004	-9.96128984995216e+000
4.36515832240172e+004	-1.03610788412906e+001
4.57088189614881e+004	-1.07608874742763e+001
4.78630092322645e+004	-1.11607141268831e+001
5.01187233627279e+004	-1.15605573296332e+001
5.24807460249780e+004	-1.19604157531930e+001
5.49540873857632e+004	-1.23602881971467e+001
5.75439937337165e+004	-1.27601735798549e+001
6.02559586074366e+004	-1.31600709293128e+001
6.30957344480202e+004	-1.35599793749324e+001
6.60693448007605e+004	-1.39598981401797e+001
6.91830970918946e+004	-1.43598265360054e+001
7.24435960075000e+004	-1.47597639550148e+001
7.58577575029194e+004	-1.51597098663270e+001
7.94328234724293e+004	-1.55596638110807e+001
8.31763771102683e+004	-1.59596253985493e+001
8.70963589956093e+004	-1.63595943028317e+001
9.12010839355923e+004	-1.67595702600925e+001
9.54992586021450e+004	-1.71595530663268e+001
1.00000000000001e+005	-1.75595425756314e+001
1.04712854805091e+005	-1.79595386989683e+001
1.09647819614320e+005	-1.83595414034094e+001
1.14815362149690e+005	-1.87595507118563e+001
1.20226443461743e+005	-1.91595667032330e+001
1.25892541179419e+005	-1.95595895131523e+001
1.31825673855643e+005	-1.99596193350624e+001
1.38038426460291e+005	-2.03596564218832e+001
1.44543977074595e+005	-2.07597010881443e+001
1.51356124843623e+005	-2.11597537126459e+001
1.58489319246114e+005	-2.15598147416607e+001
1.65958690743759e+005	-2.19598846927076e+001
1.73780082874940e+005	-2.23599641589254e+001
1.81970085861001e+005	-2.27600538140850e+001
1.90546071796328e+005	-2.31601544182815e+001
1.99526231496891e+005	-2.35602668243525e+001
2.08929613085407e+005	-2.39603919850777e+001
2.18776162394959e+005	-2.43605309612179e+001
2.29086765276781e+005	-2.47606849304611e+001
2.39883291901953e+005	-2.51608551973487e+001
2.51188643150962e+005	-2.55610432042653e+001
2.63026799189542e+005	-2.59612505435800e+001
2.75422870333821e+005	-2.63614789710412e+001
2.88403150312665e+005	-2.67617304205331e+001
3.01995172040206e+005	-2.71620070203142e+001
3.16227766016843e+005	-2.75623111108706e+001
3.31131121482596e+005	-2.79626452645271e+001
3.46736850452537e+005	-2.83630123069747e+001
3.63078054770107e+005	-2.87634153408870e+001
3.80189396320567e+005	-2.91638577718121e+001
3.98107170553504e+005	-2.95643433365472e+001
4.16869383470342e+005	-2.99648761342158e+001
4.36515832240173e+005	-3.03654606602920e+001
4.57088189614883e+005	-3.07661018438332e+001
4.78630092322646e+005	-3.11668050882072e+001
5.01187233627281e+005	-3.15675763156211e+001
5.24807460249781e+005	-3.19684220157852e+001
5.49540873857634e+005	-3.23693492990721e+001
5.75439937337167e+005	-3.27703659545560e+001
6.02559586074368e+005	-3.31714805133495e+001
6.30957344480204e+005	-3.35727023176815e+001
6.60693448007607e+005	-3.39740415961915e+001
6.91830970918948e+005	-3.43755095459485e+001
7.24435960075003e+005	-3.47771184217288e+001
7.58577575029197e+005	-3.51788816331234e+001
7.94328234724295e+005	-3.55808138500693e+001
8.31763771102686e+005	-3.59829311174313e+001
8.70963589956096e+005	-3.63852509792805e+001
9.12010839355926e+005	-3.67877926135389e+001
9.54992586021453e+005	-3.71905769776701e+001
1.00000000000000e+006	-3.75936269661041e+001
