time	V(in)	V(out)
8.298642857141198e-004	1.085030e-010	2.645093e-003
8.444785714283981e-004	9.905263e-011	2.414710e-003
8.590928571426762e-004	9.032684e-011	2.201993e-003
8.737071428569543e-004	8.232566e-011	2.006940e-003
8.883214285712325e-004	7.504908e-011	1.829551e-003
9.029357142855106e-004	6.849710e-011	1.669826e-003
9.175499999997887e-004	6.266972e-011	1.527766e-003
9.176499999997887e-004	6.263061e-011	1.526813e-003
9.295571428569617e-004	5.819603e-011	1.418706e-003
9.414642857141348e-004	5.402989e-011	1.317144e-003
9.533714285713078e-004	5.013218e-011	1.222125e-003
9.652785714284809e-004	4.650291e-011	1.133651e-003
9.771857142856538e-004	4.314208e-011	1.051720e-003
9.890928571428270e-004	4.004969e-011	9.763337e-004
1.001000000000000e-003	3.722574e-011	9.074913e-004
1.001030000000000e-003	-5.997503e-002	9.656460e-004
1.001061666623026e-003	-1.232819e-001	1.147626e-003
1.001093896436540e-003	-1.877147e-001	1.524354e-003
1.001158356063569e-003	-3.165804e-001	2.886930e-003
1.001258356063569e-003	-5.164972e-001	6.233426e-003
1.001358356063569e-003	-7.164140e-001	1.085126e-002
1.001400000000000e-003	-7.996672e-001	1.322101e-002
1.001416712127139e-003	-8.330776e-001	1.430504e-002
1.001450136381417e-003	-8.998983e-001	1.666951e-002
1.001500000000000e-003	-9.995840e-001	2.040375e-002
1.001534904533008e-003	-9.995841e-001	2.327115e-002
1.002244203885436e-003	-9.995841e-001	8.203659e-002
1.002953503237863e-003	-9.995841e-001	1.405462e-001
1.003662802590291e-003	-9.995841e-001	1.988000e-001
1.004372101942718e-003	-9.995841e-001	2.567979e-001
1.005081401295145e-003	-9.995841e-001	3.145400e-001
1.005790700647573e-003	-9.995840e-001	3.720262e-001
1.006500000000000e-003	-9.995840e-001	4.292566e-001
1.006530192679387e-003	-9.392238e-001	4.316189e-001
1.006560385358773e-003	-8.788635e-001	4.338315e-001
1.006590578038160e-003	-8.185033e-001	4.358945e-001
1.006620770717546e-003	-7.581430e-001	4.378079e-001
1.006650963396933e-003	-6.977828e-001	4.395717e-001
1.006681156076319e-003	-6.374226e-001	4.411858e-001
1.006711348755706e-003	-5.770624e-001	4.426504e-001
1.006900000000000e-003	-1.999168e-001	4.487714e-001
1.007000000000000e-003	2.565214e-009	4.499565e-001
1.007030000000000e-003	1.413321e-008	4.499000e-001
1.008590000000001e-003	1.589526e-008	4.455461e-001
1.010150000000002e-003	1.721788e-008	4.412323e-001
1.011710000000003e-003	1.810107e-008	4.369587e-001
1.013270000000004e-003	1.854483e-008	4.327253e-001
1.014830000000005e-003	1.854916e-008	4.285321e-001
1.016390000000005e-003	1.811407e-008	4.243790e-001
1.017950000000006e-003	1.723955e-008	4.202661e-001
1.018050000000006e-003	1.722879e-008	4.200039e-001
1.032664285714300e-003	1.575166e-008	3.839944e-001
1.047278571428594e-003	1.437972e-008	3.505493e-001
1.061892857142888e-003	1.311297e-008	3.196686e-001
1.076507142857182e-003	1.195142e-008	2.913522e-001
1.091121428571476e-003	1.089506e-008	2.656002e-001
1.105735714285770e-003	9.943891e-009	2.424126e-001
1.120350000000064e-003	9.097915e-009	2.217894e-001
1.120450000000064e-003	9.092238e-009	2.216510e-001
1.135064285714358e-003	8.312705e-009	2.026475e-001
1.149678571428652e-003	7.588686e-009	1.849974e-001
1.164292857142946e-003	6.920180e-009	1.687005e-001
1.178907142857240e-003	6.307188e-009	1.537569e-001
1.193521428571534e-003	5.749709e-009	1.401667e-001
1.208135714285828e-003	5.247744e-009	1.279298e-001
1.222750000000122e-003	4.801293e-009	1.170462e-001
1.222850000000122e-003	4.798297e-009	1.169732e-001
1.237464285714416e-003	4.386910e-009	1.069443e-001
1.252078571428710e-003	4.004819e-009	9.762971e-002
1.266692857143004e-003	3.652025e-009	8.902927e-002
1.281307142857298e-003	3.328528e-009	8.114303e-002
1.295921428571592e-003	3.034326e-009	7.397098e-002
1.310535714285886e-003	2.769422e-009	6.751312e-002
1.325150000000180e-003	2.533814e-009	6.176945e-002
1.325250000000180e-003	2.532233e-009	6.173091e-002
1.339864285714474e-003	2.315129e-009	5.643834e-002
1.354478571428768e-003	2.113486e-009	5.152268e-002
1.369092857143062e-003	1.927304e-009	4.698392e-002
1.383707142857356e-003	1.756583e-009	4.282207e-002
1.398321428571650e-003	1.601322e-009	3.903712e-002
1.412935714285944e-003	1.461523e-009	3.562908e-002
1.427550000000238e-003	1.337184e-009	3.259794e-002
1.427650000000238e-003	1.336349e-009	3.257760e-002
1.442264285714532e-003	1.221776e-009	2.978453e-002
1.456878571428826e-003	1.115362e-009	2.719036e-002
1.471492857143120e-003	1.017107e-009	2.479509e-002
1.486107142857414e-003	9.270113e-010	2.259873e-002
1.500721428571708e-003	8.450748e-010	2.060128e-002
1.515335714286002e-003	7.712976e-010	1.880274e-002
1.529950000000296e-003	7.056796e-010	1.720310e-002
1.530050000000296e-003	7.052393e-010	1.719236e-002
1.544664285714590e-003	6.447748e-010	1.571836e-002
1.559278571428884e-003	5.886163e-010	1.434932e-002
1.573892857143178e-003	5.367637e-010	1.308526e-002
1.588507142857472e-003	4.892170e-010	1.192616e-002
1.603121428571766e-003	4.459762e-010	1.087203e-002
1.617735714286060e-003	4.070413e-010	9.922875e-003
1.632350000000354e-003	3.724123e-010	9.078688e-003
1.632450000000354e-003	3.721799e-010	9.073023e-003
1.647064285714648e-003	3.402707e-010	8.295138e-003
1.661678571428942e-003	3.106338e-010	7.572649e-003
1.676292857143236e-003	2.832693e-010	6.905556e-003
1.690907142857530e-003	2.581772e-010	6.293859e-003
1.705521428571824e-003	2.353575e-010	5.737559e-003
1.720135714286118e-003	2.148102e-010	5.236655e-003
1.734750000000412e-003	1.965352e-010	4.791148e-003
1.734850000000412e-003	1.964126e-010	4.788158e-003
1.749464285714706e-003	1.795730e-010	4.377640e-003
1.764078571429000e-003	1.639325e-010	3.996357e-003
1.778692857143294e-003	1.494913e-010	3.644308e-003
1.793307142857588e-003	1.362493e-010	3.321494e-003
1.807921428571882e-003	1.242066e-010	3.027915e-003
1.822535714286176e-003	1.133630e-010	2.763570e-003
1.837150000000470e-003	1.037187e-010	2.528459e-003
1.837250000000470e-003	1.036539e-010	2.526882e-003
1.851864285714764e-003	9.476706e-011	2.310237e-003
1.866478571429058e-003	8.651305e-011	2.109020e-003
1.881092857143352e-003	7.889191e-011	1.923231e-003
1.895707142857646e-003	7.190363e-011	1.752871e-003
1.910321428571940e-003	6.554823e-011	1.597939e-003
1.924935714286234e-003	5.982570e-011	1.458434e-003
1.939550000000528e-003	5.473604e-011	1.334358e-003
1.939650000000528e-003	5.470188e-011	1.333526e-003
1.948414286251697e-003	1.226914e-006	1.262998e-003
1.957178572502866e-003	1.686996e-006	1.195777e-003
1.965942858754035e-003	1.380301e-006	1.131863e-003
1.974707145005205e-003	3.068284e-007	1.071255e-003
1.983471431256373e-003	-1.533422e-006	1.013955e-003
1.992235717507542e-003	-4.140449e-006	9.599614e-004
2.001000003758711e-003	-7.514254e-006	9.092747e-004
2.001017606881227e-003	-3.519911e-002	9.158985e-004
2.001035210003742e-003	-7.039070e-002	9.788849e-004
2.001052813126257e-003	-1.055823e-001	1.098234e-003
2.001070416248772e-003	-1.407739e-001	1.273946e-003
2.001088019371287e-003	-1.759655e-001	1.506020e-003
2.001105622493803e-003	-2.111571e-001	1.794457e-003
2.001123225616318e-003	-2.463487e-001	2.139257e-003
2.001223225616318e-003	-4.462655e-001	4.913791e-003
2.001323225616318e-003	-6.461824e-001	9.093927e-003
2.001400000000000e-003	-7.996672e-001	1.350413e-002
2.001500000000000e-003	-9.995840e-001	2.039714e-002
2.001570000000000e-003	-9.995841e-001	2.617310e-002
2.002274285714286e-003	-9.995841e-001	8.451382e-002
2.002978571428571e-003	-9.995841e-001	1.426018e-001
2.003682857142857e-003	-9.995841e-001	2.004370e-001
2.004387142857143e-003	-9.995841e-001	2.580194e-001
2.005091428571428e-003	-9.995841e-001	3.153491e-001
2.005795714285714e-003	-9.995840e-001	3.724260e-001
2.006500000000000e-003	-9.995840e-001	4.292502e-001
2.006570000000000e-003	-8.596423e-001	4.344841e-001
2.006749999999999e-003	-4.997920e-001	4.443641e-001
2.006900000000000e-003	-1.999168e-001	4.489186e-001
2.007000000000000e-003	2.570820e-009	4.499429e-001
2.007030000000000e-003	1.413437e-008	4.498863e-001
2.008889999999997e-003	1.586143e-008	4.446997e-001
2.010749999999994e-003	1.714996e-008	4.395703e-001
2.012609999999991e-003	1.799995e-008	4.344980e-001
2.014469999999988e-003	1.841140e-008	4.294830e-001
2.016329999999985e-003	1.838431e-008	4.245250e-001
2.018189999999982e-003	1.791869e-008	4.196243e-001
2.020049999999979e-003	1.701453e-008	4.147807e-001
2.038549999999949e-003	1.515900e-008	3.695466e-001
2.053164285714212e-003	1.385932e-008	3.378631e-001
2.067778571428474e-003	1.265220e-008	3.084359e-001
2.082392857142736e-003	1.153764e-008	2.812651e-001
2.097007142856999e-003	1.051563e-008	2.563505e-001
2.111621428571261e-003	9.586176e-009	2.336923e-001
2.126235714285523e-003	8.749277e-009	2.132903e-001
2.140849999999786e-003	8.004934e-009	1.951447e-001
2.140949999999785e-003	7.999938e-009	1.950229e-001
2.155564285714048e-003	7.314055e-009	1.783024e-001
2.170178571428310e-003	6.677016e-009	1.627726e-001
2.184792857142572e-003	6.088821e-009	1.484336e-001
2.199407142856834e-003	5.549471e-009	1.352853e-001
2.214021428571097e-003	5.058966e-009	1.233277e-001
2.228635714285359e-003	4.617305e-009	1.125609e-001
2.243249999999621e-003	4.224488e-009	1.029848e-001
2.243349999999621e-003	4.221852e-009	1.029205e-001
2.257964285713883e-003	3.859887e-009	9.409654e-002
2.272578571428146e-003	3.523699e-009	8.590093e-002
2.287192857142408e-003	3.213288e-009	7.833371e-002
2.301807142856670e-003	2.928654e-009	7.139488e-002
2.316421428570933e-003	2.669797e-009	6.508445e-002
2.331035714285195e-003	2.436716e-009	5.940241e-002
2.345649999999457e-003	2.229413e-009	5.434876e-002
2.345749999999457e-003	2.228022e-009	5.431484e-002
2.360364285713719e-003	2.037000e-009	4.965810e-002
