time	V
2.009999999999955e-004	3.560280e-001
2.010000000000000e-004	3.560280e-001
2.010000000000091e-004	3.560280e-001
2.010000000000273e-004	3.560280e-001
2.010223517418129e-004	3.559981e-001
2.010447034835985e-004	3.560514e-001
2.010670552253840e-004	3.561878e-001
2.010894069671696e-004	3.564073e-001
2.011117587089552e-004	3.567098e-001
2.011341104507407e-004	3.570955e-001
2.011564621925263e-004	3.575644e-001
2.013564621925263e-004	3.646095e-001
2.015000000000000e-004	3.735046e-001
2.015287400979906e-004	3.757014e-001
2.015574801959811e-004	3.779022e-001
2.015862202939717e-004	3.801070e-001
2.016149603919622e-004	3.823156e-001
2.016437004899528e-004	3.845283e-001
2.016724405879434e-004	3.867449e-001
2.017011806859339e-004	3.889654e-001
2.023867263022291e-004	4.416229e-001
2.030722719185242e-004	4.940502e-001
2.037578175348194e-004	5.462475e-001
2.044433631511146e-004	5.982146e-001
2.051289087674097e-004	6.499515e-001
2.058144543837049e-004	7.014583e-001
2.065000000000000e-004	7.527350e-001
2.065691735198462e-004	7.575245e-001
2.068482289710990e-004	7.696936e-001
2.070000000000000e-004	7.713589e-001
2.070300000000000e-004	7.712355e-001
2.195042857142860e-004	7.122933e-001
2.319785714285721e-004	6.571595e-001
2.444528571428581e-004	6.058343e-001
2.569271428571441e-004	5.583176e-001
2.694014285714301e-004	5.146094e-001
2.818757142857161e-004	4.747098e-001
2.943500000000021e-004	4.386187e-001
2.944500000000021e-004	4.383353e-001
3.009999999999954e-004	4.201658e-001
3.010000000000364e-004	4.201658e-001
3.010000000000774e-004	4.201658e-001
3.010000000001184e-004	4.201658e-001
3.010000000001594e-004	4.201658e-001
3.010000000002004e-004	4.201658e-001
3.010000000002413e-004	4.201658e-001
3.010000000002823e-004	4.201658e-001
3.010223517420315e-004	4.201267e-001
3.010447034837806e-004	4.201707e-001
3.010670552255297e-004	4.202978e-001
3.010894069672789e-004	4.205080e-001
3.011117587090280e-004	4.208014e-001
3.011341104507772e-004	4.211778e-001
3.011564621925263e-004	4.216374e-001
3.012055390221654e-004	4.227522e-001
3.012546158518045e-004	4.242476e-001
3.013036926814436e-004	4.261238e-001
3.013527695110827e-004	4.283807e-001
3.014018463407218e-004	4.310183e-001
3.014509231703609e-004	4.340365e-001
3.015000000000000e-004	4.374355e-001
3.015287400979897e-004	4.396205e-001
3.015574801959794e-004	4.418094e-001
3.015862202939691e-004	4.440022e-001
3.016149603919588e-004	4.461990e-001
3.016437004899485e-004	4.483998e-001
3.016724405879382e-004	4.506045e-001
3.017011806859278e-004	4.528132e-001
3.065000000000000e-004	8.146329e-001
3.065691735198505e-004	8.193948e-001
3.066307201598719e-004	8.230222e-001
3.066922667998932e-004	8.260911e-001
3.067538134399146e-004	8.286014e-001
3.068153600799360e-004	8.305532e-001
3.068769067199573e-004	8.319464e-001
3.069384533599787e-004	8.327810e-001
3.070000000000000e-004	8.330570e-001
3.070300000000000e-004	8.329217e-001
3.191614285714289e-004	7.709058e-001
3.312928571428577e-004	7.128086e-001
3.434242857142867e-004	6.586304e-001
3.555557142857155e-004	6.083710e-001
3.676871428571444e-004	5.620304e-001
3.798185714285732e-004	5.196087e-001
3.919500000000021e-004	4.811059e-001
3.920500000000021e-004	4.807950e-001
4.009000000000000e-004	4.540651e-001
4.009999999999955e-004	4.537717e-001
4.010000000000000e-004	4.537717e-001
4.010000000000090e-004	4.537717e-001
4.010000000000270e-004	4.537717e-001
4.010220856496485e-004	4.537275e-001
4.010441712992699e-004	4.537646e-001
4.010662569488914e-004	4.538831e-001
