50	1.02	0.0056
100	1.02	0.0104
250	1.02	0.0248
500	1.02	0.0488
1000	1.02	0.0960
2000	1.02	0.186
3000	1.02	0.2660
4000	1.02	0.332
5000	1.02	0.3840
6000	1.02	0.42
7000	1.02	0.444
8000	1.02	0.4640
9000	1.02	0.468
10000	1.02	0.4720
12000	1.02	0.46
15000	1.02	0.432
20000	1.02	0.372
25000	1.02	0.3200
50000	1.02	0.1820
100000	1.02	0.0936
200000	1.02	0.0496
350000	1.02	0.032
500000	1.02	0.0264
1000000	1.02	0.0200
