-0.252	-2.480	0   0.0784
-0.400	-3.920	0   0.1425
-0.496	-4.960	0   0.1562
-0.736	-7.360	0   0.1950
-0.881	-8.980	0   0.2692
-0.984	-10.000	0   0.2852
-1.130	-11.500	0   0.3264
-1.290	-13.000	0   0.3763
0.252	2.480	0   0.0774
0.400	4.000	0   0.1411
0.496	4.960	0   0.1541
0.744	7.440	0   0.1937
0.907	8.980	0   0.2676
1.010	9.930	0   0.2830
1.160	11.400	0   0.3237
1.290	13.000	0   0.3714
