100	0.976	0.052	0.2	0.02
1000	0.984	0.492	0.2	0.1
10000	0.992	4.24	0.2	1
15000	0.992	5.79	0.2	2
17000	0.984	6.25	0.2	2
18000	0.984	6.43	0.2	2
19000	0.984	6.7	0.2	2
20000	0.984	6.91	0.2	2
21000	0.984	7.01	0.2	2
22000	0.984	7.24	0.2	2
23000	0.984	7.34	0.2	2
24000	0.984	7.5	0.2	2
25000	0.984	7.62	0.2	2
27000	0.984	7.84	0.2	2
30000	0.984	8.25	0.2	2
55000	0.968	9.28	0.2	2
60000	0.968	9.44	0.2	2
65000	0.968	9.44	0.2	2
70000	0.968	9.44	0.2	2
75000	0.968	9.44	0.2	2
80000	0.968	9.44	0.2	2
85000	0.968	9.28	0.2	2
90000	0.968	9.28	0.2	2
95000	0.968	9.28	0.2	2
100000	0.968	9.28	0.2	2
105000	0.968	9.12	0.2	2
110000	0.968	9.04	0.2	2
200000	0.960	7.36	0.2	2
500000	0.968	3.84	0.2	1
1000000	0.968	1.8	0.2	0.5
