Freq.	V(out)/V(in)
1.38038426460290e+003	(-1.74324246041930e+001dB,7.27663893864724e+001°)
1.44543977074594e+003	(-1.70513469558514e+001dB,7.19675453669806e+001°)
1.51356124843622e+003	(-1.66720461246671e+001dB,7.11329870376750e+001°)
1.58489319246113e+003	(-1.62946839656620e+001dB,7.02613066947637e+001°)
1.65958690743757e+003	(-1.59194361051241e+001dB,6.93510683459078e+001°)
1.73780082874939e+003	(-1.55464929238993e+001dB,6.84008113422456e+001°)
1.81970085861000e+003	(-1.51760605739302e+001dB,6.74090547577061e+001°)
1.90546071796326e+003	(-1.48083620211686e+001dB,6.63743026000476e+001°)
1.99526231496890e+003	(-1.44436381059391e+001dB,6.52950499417363e+001°)
2.08929613085406e+003	(-1.40821486094836e+001dB,6.41697900611929e+001°)
2.18776162394957e+003	(-1.37241733127481e+001dB,6.29970226856425e+001°)
2.29086765276779e+003	(-1.33700130304844e+001dB,6.17752634252556e+001°)
2.39883291901951e+003	(-1.30199906004452e+001dB,6.05030544838732e+001°)
2.51188643150960e+003	(-1.26744518038698e+001dB,5.91789767236723e+001°)
2.63026799189541e+003	(-1.23337661896592e+001dB,5.78016631489143e+001°)
2.75422870333819e+003	(-1.19983277706791e+001dB,5.63698138566433e+001°)
2.88403150312663e+003	(-1.16685555566444e+001dB,5.48822124790782e+001°)
3.01995172040204e+003	(-1.13448938841617e+001dB,5.33377441127211e+001°)
3.16227766016841e+003	(-1.10278125009435e+001dB,5.17354146922411e+001°)
3.31131121482594e+003	(-1.07178063581884e+001dB,5.00743717225230e+001°)
3.46736850452535e+003	(-1.04153950629409e+001dB,4.83539262296953e+001°)
3.63078054770105e+003	(-1.01211219412177e+001dB,4.65735757316754e+001°)
3.80189396320565e+003	(-9.83555266317778e+000dB,4.47330279614674e+001°)
3.98107170553501e+003	(-9.55927338399941e+000dB,4.28322250034363e+001°)
4.16869383470339e+003	(-9.29288835877204e+000dB,4.08713674260793e+001°)
4.36515832240170e+003	(-9.03701699696431e+000dB,3.88509379172508e+001°)
4.57088189614880e+003	(-8.79229033215330e+000dB,3.67717238530204e+001°)
4.78630092322643e+003	(-8.55934689585929e+000dB,3.46348381638129e+001°)
5.01187233627277e+003	(-8.33882800052944e+000dB,3.24417378063059e+001°)
5.24807460249778e+003	(-8.13137245576099e+000dB,3.01942391123381e+001°)
5.49540873857630e+003	(-7.93761076332331e+000dB,2.78945292724966e+001°)
5.75439937337163e+003	(-7.75815885974436e+000dB,2.55451732274879e+001°)
6.02559586074364e+003	(-7.59361149922085e+000dB,2.31491152893982e+001°)
6.30957344480200e+003	(-7.44453539320177e+000dB,2.07096749006459e+001°)
6.60693448007603e+003	(-7.31146224479641e+000dB,1.82305360619786e+001°)
6.91830970918944e+003	(-7.19488183467170e+000dB,1.57157301209739e+001°)
7.24435960074998e+003	(-7.09523532882696e+000dB,1.31696118050918e+001°)
7.58577575029192e+003	(-7.01290898618648e+000dB,1.05968286014110e+001°)
